A/C,O,U,RO,RU,N,UO,R
housedust NR,0.368421053,0.328947368,0.013157895,0,0.065789474,0,0.223684211
housedust MR,0.26006192,0.247678019,0.037151703,0.027863777,0.024767802,0.009287926,0.393188854
housedust LR,0.328467153,0.284671533,0.00729927,0.01459854,0.02189781,0.01459854,0.328467153
housedust HR,0.157575758,0.266666667,0.048484848,0.042424242,0.018181818,0,0.466666667
cottondust NR,0.375,0.263888889,0.027777778,0,0.013888889,0,0.319444444
cottondust MR,0.205202312,0.294797688,0.031791908,0.026011561,0.037572254,0.005780347,0.398843931
cottondust LR,0.390625,0.234375,0.015625,0.015625,0.020833333,0.015625,0.307291667
cottondust HR,0.10989011,0.241758242,0.065934066,0.065934066,0.010989011,0,0.505494505
aspergilus MR,0.239583333,0.291666667,0.052083333,0.020833333,0.010416667,0.020833333,0.364583333
aspergilus NR,0.281179138,0.253968254,0.031746032,0.027210884,0.038548753,0.002267574,0.365079365
aspergilus LR,0.222222222,0.291666667,0.020833333,0.013888889,0.006944444,0.013888889,0.430555556
aspergilus HR,0.2,0.3,0,0.1,0,0,0.4
pollen NR,0.315217391,0.239130435,0.032608696,0,0.065217391,0.010869565,0.336956522
pollen MR,0.240687679,0.263610315,0.037249284,0.034383954,0.025787966,0.008595989,0.389684814
pollen LR,0.32972973,0.248648649,0.027027027,0.016216216,0.021621622,0.005405405,0.351351351
pollen HR,0.12,0.373333333,0.013333333,0.04,0,0,0.453333333
parthenium MR,0.227146814,0.268698061,0.047091413,0.027700831,0.022160665,0.008310249,0.398891967
parthenium NR,0.30952381,0.261904762,0.035714286,0.035714286,0.011904762,0.011904762,0.333333333
parthenium LR,0.360215054,0.247311828,0.010752688,0.016129032,0.037634409,0.005376344,0.322580645
parthenium HR,0.114285714,0.328571429,0,0.028571429,0.042857143,0,0.485714286
cockroach NR,0.357894737,0.231578947,0.052631579,0.010526316,0.021052632,0,0.326315789
cockroach MR,0.246753247,0.282467532,0.035714286,0.032467532,0.032467532,0.003246753,0.366883117
cockroach LR,0.30994152,0.286549708,0.011695906,0.011695906,0.01754386,0.005847953,0.356725146
cockroach HR,0.157480315,0.236220472,0.031496063,0.039370079,0.031496063,0.023622047,0.480314961
catdander KR,0.261560694,0.26734104,0.031791908,0.026011561,0.027456647,0.007225434,0.378612717
catdander NR,0.5,0,0,0,0,0,0.5
catdander LR,0,0.6,0,0,0,0,0.4
dosfur KR,0.258928571,0.266369048,0.032738095,0.023809524,0.026785714,0.007440476,0.383928571
dosfur NR,0.294117647,0.352941176,0,0,0.058823529,0,0.294117647
dosfur LR,0.4,0.1,0,0.2,0,0,0.3
dosfur MR,0,1,0,0,0,0,0
roaddust KR,0.261055635,0.268188302,0.031383738,0.025677603,0.027104137,0.007132668,0.379457917
oldpdust KR,0.259365994,0.268011527,0.031700288,0.025936599,0.027377522,0.007204611,0.380403458
oldpdust NR,0.5,0.25,0,0,0,0,0.25
oldpdust LR,0.5,0.5,0,0,0,0,0
oldpdust MR,0,0,0,0,0,0,1
PSdust KR,0.264069264,0.265512266,0.031746032,0.025974026,0.027417027,0.007215007,0.378066378
PSdust NR,0,0.333333333,0,0,0,0,0.666666667
PSdust LR,0,1,0,0,0,0,0
PSdust MR,0,0,0,0,0,0,1
MilkP KR,0.189189189,0.351351351,0.081081081,0,0,0,0.378378378
MilkP LR,0.307692308,0.184615385,0.046153846,0.015384615,0,0.015384615,0.430769231
MilkP HR,0,1,0,0,0,0,0
MilkP MR,0,0.571428571,0,0,0,0,0.428571429
MilkP NR,0.26440678,0.266101695,0.027118644,0.028813559,0.03220339,0.006779661,0.374576271
MilkC KR,0.265973254,0.261515602,0.029717682,0.026745914,0.028231798,0.007429421,0.38038633
MilkC NR,0.166666667,0.388888889,0,0,0,0,0.444444444
MilkC LR,0,0.555555556,0.222222222,0,0,0,0.222222222
MilkC MR,1,0,0,0,0,0,0
curd KR,0.291457286,0.203517588,0.032663317,0.027638191,0.020100503,0.010050251,0.414572864
curd NR,0.214912281,0.381578947,0.035087719,0.01754386,0.01754386,0,0.333333333
curd LR,0.246575342,0.260273973,0,0.04109589,0.095890411,0.01369863,0.342465753
curd MR,0,0.5,0.5,0,0,0,0
coffee KR,0.278293135,0.257884972,0.029684601,0.025974026,0.027829314,0.005565863,0.374768089
coffee NR,0.170940171,0.307692308,0.042735043,0.017094017,0.034188034,0.008547009,0.418803419
coffee LR,0.302325581,0.302325581,0,0.046511628,0,0.023255814,0.325581395
coffee MR,0,0,0.5,0,0,0,0.5
tea KR,0.241477273,0.213068182,0.034090909,0.025568182,0.014204545,0.005681818,0.465909091
tea NR,0.300518135,0.274611399,0.020725389,0.010362694,0.046632124,0.010362694,0.336787565
tea LR,0.270833333,0.375,0.034722222,0.027777778,0.034722222,0.006944444,0.25
tea MR,0.083333333,0.5,0.083333333,0.25,0,0,0.083333333
beef KR,0.252836305,0.273905997,0.02917342,0.022690438,0.025931929,0.006482982,0.38897893
beef NR,0.34375,0.25,0.0625,0.046875,0.015625,0.015625,0.265625
beef LR,0.294117647,0.117647059,0,0.058823529,0.117647059,0,0.411764706
beef MR,0,0.333333333,0,0,0,0,0.666666667
chicken KR,0.32748538,0.228070175,0.01754386,0.023391813,0.029239766,0,0.374269006
chicken NR,0.246511628,0.262790698,0.03255814,0.025581395,0.03255814,0.006976744,0.393023256
chicken LR,0.210526316,0.378947368,0.052631579,0.031578947,0,0.021052632,0.305263158
chicken MR,0.2,0,0,0,0,0,0.8
mutton KR,0.296568627,0.262254902,0.031862745,0.017156863,0.014705882,0.00245098,0.375
mutton NR,0.22406639,0.253112033,0.033195021,0.041493776,0.045643154,0.012448133,0.390041494
mutton LR,0.145833333,0.395833333,0.020833333,0.020833333,0.041666667,0.020833333,0.354166667
mutton MR,0.25,0.25,0,0,0,0,0.5
egg KR,0.270408163,0.25,0.030612245,0.025510204,0.025510204,0.005102041,0.392857143
egg LR,0.222222222,0.24691358,0.024691358,0.024691358,0.049382716,0.012345679,0.419753086
egg HR,0,0,0.5,0,0,0,0.5
egg MR,0.142857143,0.142857143,0.071428571,0,0,0,0.642857143
egg NR,0.269607843,0.286764706,0.029411765,0.026960784,0.024509804,0.007352941,0.355392157
fishA KR,0.278350515,0.29209622,0.024054983,0.020618557,0.020618557,0,0.364261168
fishA NR,0.271386431,0.256637168,0.029498525,0.020648968,0.038348083,0.014749263,0.368731563
fishA LR,0.147058824,0.235294118,0.058823529,0.073529412,0,0,0.485294118
fishA MR,0,0,0.333333333,0,0,0,0.666666667
fishB KR,0.268844221,0.281407035,0.027638191,0.027638191,0.035175879,0.007537688,0.351758794
fishB NR,0.246376812,0.270531401,0.038647343,0.014492754,0.019323671,0.004830918,0.405797101
fishB LR,0.290697674,0.209302326,0.011627907,0.023255814,0.011627907,0,0.453488372
fishB MR,0,0.2,0.2,0.2,0,0.1,0.3
crab KR,0.25,0.279661017,0.036016949,0.021186441,0.025423729,0.004237288,0.383474576
crab LR,0.147058824,0.264705882,0,0.088235294,0,0.029411765,0.470588235
crab HR,0.333333333,0.333333333,0,0,0,0,0.333333333
crab MR,0.142857143,0.285714286,0.071428571,0,0,0,0.5
crab NR,0.320224719,0.235955056,0.02247191,0.028089888,0.039325843,0.011235955,0.342696629
prawns KR,0.275568182,0.264204545,0.034090909,0.019886364,0.017045455,0.008522727,0.380681818
prawns LR,0.212765957,0.29787234,0.010638298,0.063829787,0,0.010638298,0.404255319
prawns HR,0.2,0.4,0,0,0,0,0.4
prawns MR,0.3,0.2,0,0,0,0,0.5
prawns NR,0.258333333,0.2625,0.0375,0.020833333,0.054166667,0.004166667,0.3625
shark KR,0.261764706,0.273529412,0.030882353,0.025,0.022058824,0.007352941,0.379411765
shark NR,0.2,0.1,0.05,0.05,0.2,0,0.4
shark LR,1,0,0,0,0,0,0
avaraikai KR,0.275609756,0.26097561,0.024390244,0.026829268,0.036585366,0.004878049,0.370731707
avaraikai LR,0.14893617,0.361702128,0.042553191,0,0,0,0.446808511
avaraikai HR,0,0,0,0,0,0,1
avaraikai MR,0,0.5,0,0,0,0,0.5
avaraikai NR,0.265822785,0.257383966,0.042194093,0.029535865,0.016877637,0.012658228,0.375527426
banana KR,0.27943761,0.260105448,0.028119508,0.024604569,0.028119508,0.008787346,0.370826011
banana NR,0.171171171,0.288288288,0.036036036,0.027027027,0.018018018,0,0.459459459
banana LR,0.238095238,0.380952381,0.095238095,0.047619048,0.047619048,0,0.19047619
beans KR,0.342342342,0.234234234,0.018018018,0.009009009,0.072072072,0,0.324324324
beans NR,0.263803681,0.245398773,0.030674847,0.030674847,0.018404908,0.008179959,0.402862986
beans LR,0.15625,0.416666667,0.052083333,0.020833333,0.020833333,0.010416667,0.322916667
beans MR,0.2,0.4,0,0,0,0,0.4
beetroot KR,0.262626263,0.234848485,0.032828283,0.025252525,0.02020202,0.01010101,0.414141414
beetroot NR,0.242152466,0.286995516,0.01793722,0.035874439,0.044843049,0.004484305,0.367713004
beetroot LR,0.324675325,0.376623377,0.064935065,0,0.012987013,0,0.220779221
beetroot MR,0,0.4,0,0,0,0,0.6
brinjal KR,0.269230769,0.415384615,0.030769231,0,0.023076923,0.007692308,0.253846154
brinjal LR,0.213017751,0.25443787,0.041420118,0.047337278,0.017751479,0.00591716,0.420118343
brinjal HR,0,0,0,0,0,0,1
brinjal MR,0.272727273,0.272727273,0,0,0,0,0.454545455
brinjal NR,0.279487179,0.225641026,0.028205128,0.025641026,0.033333333,0.007692308,0.4
cabbage KR,0.268041237,0.240549828,0.037800687,0.024054983,0.037800687,0.006872852,0.384879725
cabbage NR,0.261363636,0.298295455,0.025568182,0.028409091,0.019886364,0.008522727,0.357954545
cabbage LR,0.240740741,0.203703704,0.037037037,0.018518519,0.018518519,0,0.481481481
cabbage MR,0,0.5,0,0,0,0,0.5
capsicum KR,0.260663507,0.266982622,0.031595577,0.023696682,0.028436019,0.007898894,0.380726698
capsicum NR,0.261538462,0.292307692,0.015384615,0.046153846,0.015384615,0,0.369230769
capsicum LR,0.333333333,0,0.333333333,0,0,0,0.333333333
chillie KR,0.266666667,0.263636364,0.031818182,0.025757576,0.027272727,0.007575758,0.377272727
chillie NR,0.184210526,0.315789474,0.026315789,0.026315789,0.026315789,0,0.421052632
chillie LR,0,1,0,0,0,0,0
chillie MR,0,0,0,0,0,0,1
cauliflower KR,0.256097561,0.25,0.040650407,0.028455285,0.034552846,0.006097561,0.384146341
cauliflower NR,0.290697674,0.284883721,0.011627907,0.01744186,0.005813953,0.011627907,0.377906977
cauliflower LR,0.147058824,0.441176471,0,0.029411765,0.029411765,0,0.352941176
cauliflower MR,0.666666667,0.333333333,0,0,0,0,0
carrot KR,0.380434783,0.195652174,0.032608696,0,0.043478261,0.010869565,0.336956522
carrot NR,0.234251969,0.261811024,0.031496063,0.027559055,0.025590551,0.007874016,0.411417323
carrot LR,0.302083333,0.333333333,0.03125,0.041666667,0.020833333,0,0.270833333
carrot MR,0,1,0,0,0,0,0
chowchow KR,0.268608414,0.263754045,0.030744337,0.025889968,0.029126214,0.008090615,0.373786408
chowchow NR,0.215189873,0.303797468,0.037974684,0.025316456,0.012658228,0,0.405063291
chowchow LR,0,0.25,0,0,0,0,0.75
corn KR,0.261904762,0.258928571,0.032738095,0.026785714,0.02827381,0.007440476,0.383928571
corn NR,0.25,0.5,0,0,0,0,0.25
corn LR,0,0,0,0,0,0,1
cucumber KR,0.258566978,0.263239875,0.034267913,0.024922118,0.029595016,0.007788162,0.381619938
cucumber NR,0.361702128,0.276595745,0,0.042553191,0,0,0.319148936
cucumber LR,0,0.5,0,0,0,0,0.5
drumstick KR,0.25,0.197368421,0.039473684,0.013157895,0.013157895,0,0.486842105
drumstick NR,0.264112903,0.254032258,0.032258065,0.026209677,0.030241935,0.008064516,0.385080645
drumstick LR,0.258333333,0.35,0.025,0.033333333,0.025,0.008333333,0.3
drumstick MR,0.222222222,0.555555556,0,0,0,0,0.222222222
greens KR,0.259541985,0.236641221,0.038167939,0.022900763,0,0,0.442748092
greens LR,0.251748252,0.328671329,0.027972028,0.034965035,0.041958042,0.006993007,0.307692308
greens HR,0,1,0,0,0,0,0
greens MR,0.071428571,0.5,0,0,0.142857143,0,0.285714286
greens NR,0.27184466,0.247572816,0.031553398,0.024271845,0.026699029,0.009708738,0.388349515
gourds KR,0.260233918,0.269005848,0.040935673,0.029239766,0.01754386,0.002923977,0.380116959
gourds NR,0.265822785,0.262658228,0.022151899,0.022151899,0.037974684,0.009493671,0.379746835
gourds LR,0.219512195,0.317073171,0.024390244,0.024390244,0.024390244,0.024390244,0.365853659
gourds MR,0.5,0,0,0,0,0,0.5
kovaikai KR,0.270769231,0.269230769,0.030769231,0.026153846,0.029230769,0.006153846,0.367692308
