A/C,N,UO,RO,R,U,O,RU
housedust NR,0.31147541,0,0.032786885,0.131147541,0.295081967,0.229508197,0
housedust HR,0.129411765,0,0.264705882,0.164705882,0.170588235,0.082352941,0.188235294
housedust LR,0.129032258,0.290322581,0.016129032,0.120967742,0.137096774,0.201612903,0.10483871
housedust MR,0.125364431,0.186588921,0.145772595,0.142857143,0.104956268,0.137026239,0.157434402
cottondust NR,0.068181818,0,0.159090909,0.159090909,0.272727273,0.340909091,0
cottondust HR,0.047169811,0,0.216981132,0.160377358,0.179245283,0.056603774,0.339622642
cottondust LR,0.140186916,0.299065421,0.093457944,0.102803738,0.093457944,0.196261682,0.074766355
cottondust MR,0.185628743,0.107784431,0.146706587,0.161676647,0.146706587,0.110778443,0.140718563
aspergilus NR,0.208816705,0.034802784,0.143851508,0.136890951,0.134570766,0.167053364,0.174013921
aspergilus HR,0,0,0,0.083333333,0.083333333,0.166666667,0.666666667
aspergilus LR,0.02238806,0.350746269,0.097014925,0.179104478,0.186567164,0.119402985,0.044776119
aspergilus MR,0.05785124,0.314049587,0.198347107,0.132231405,0.132231405,0.082644628,0.082644628
pollen NR,0.283018868,0.150943396,0.113207547,0.132075472,0.132075472,0.188679245,0
pollen HR,0,0,0.120689655,0.25862069,0.275862069,0.120689655,0.224137931
pollen LR,0.143712575,0.149700599,0.149700599,0.119760479,0.131736527,0.191616766,0.113772455
pollen MR,0.125340599,0.160762943,0.14986376,0.138964578,0.130790191,0.111716621,0.182561308
parthenium NR,0.029411765,0.225490196,0.107843137,0.147058824,0.117647059,0.166666667,0.205882353
parthenium HR,0.224489796,0,0,0.224489796,0.224489796,0.081632653,0.244897959
parthenium LR,0.214765101,0.11409396,0.026845638,0.140939597,0.181208054,0.248322148,0.073825503
parthenium MR,0.135678392,0.150753769,0.211055276,0.133165829,0.125628141,0.105527638,0.138190955
cockroach NR,0.106666667,0,0.24,0.173333333,0.2,0.2,0.08
cockroach HR,0.111111111,0.316666667,0.127777778,0.122222222,0.094444444,0.072222222,0.155555556
cockroach LR,0.179487179,0.179487179,0.017094017,0.136752137,0.170940171,0.256410256,0.05982906
cockroach MR,0.156441718,0.067484663,0.171779141,0.150306748,0.147239264,0.128834356,0.17791411
catdander NR,0,0,0,0.333333333,0,0.666666667,0
catdander KR,0.144927536,0.144927536,0.143478261,0.14057971,0.14057971,0.142028986,0.143478261
catdander LR,0,0,0,0.4,0.6,0,0
dosfur NR,0.285714286,0,0,0.214285714,0.285714286,0.214285714,0
dosfur KR,0.145675266,0.151745068,0.150227618,0.145675266,0.141122914,0.142640364,0.122913505
dosfur LR,0,0,0,0.043478261,0.043478261,0.130434783,0.782608696
dosfur MR,0,0,0,0,1,0,0
roaddust KR,0.143266476,0.143266476,0.141833811,0.143266476,0.143266476,0.143266476,0.141833811
oldpdust NR,0,0,0,0.25,0.25,0.5,0
oldpdust KR,0.144508671,0.144508671,0.143063584,0.143063584,0.141618497,0.14017341,0.143063584
oldpdust LR,0,0,0,0,0.5,0.5,0
PSdust NR,0,0,0,1,0,0,0
PSdust KR,0.143472023,0.143472023,0.142037303,0.142037303,0.143472023,0.143472023,0.142037303
MilkP LR,0,0.279411765,0.235294118,0.147058824,0.117647059,0.176470588,0.044117647
MilkP KR,0,0,0.481481481,0.185185185,0.148148148,0.185185185,0
MilkP MR,0,0,0,0.6,0.4,0,0
MilkP NR,0.167504188,0.135678392,0.117252931,0.137353434,0.142378559,0.139028476,0.16080402
MilkP HR,0,0,0,0,1,0,0
MilkC NR,0,0,0,0.285714286,0.285714286,0.428571429,0
MilkC KR,0.147058824,0.147058824,0.138235294,0.142647059,0.138235294,0.141176471,0.145588235
MilkC LR,0,0,0.5,0.1,0.4,0,0
MilkC MR,0,0,0,0,0,1,0
curd NR,0.156756757,0,0.162162162,0.172972973,0.254054054,0.156756757,0.097297297
curd KR,0.108747045,0.193853428,0.14893617,0.14893617,0.096926714,0.14893617,0.153664303
curd LR,0.297619048,0.214285714,0,0.05952381,0.142857143,0.095238095,0.19047619
curd MR,0,0,1,0,0,0,0
coffee NR,0.164179104,0.149253731,0.179104478,0.156716418,0.111940299,0.126865672,0.111940299
coffee KR,0.149712092,0.117082534,0.138195777,0.142034549,0.145873321,0.153550864,0.153550864
coffee LR,0,0.487179487,0,0.128205128,0.205128205,0.076923077,0.102564103
coffee MR,0,0,0.75,0,0.25,0,0
tea NR,0.227906977,0.186046512,0.102325581,0.134883721,0.139534884,0.153488372,0.055813953
tea KR,0.076219512,0.115853659,0.182926829,0.176829268,0.125,0.170731707,0.152439024
tea LR,0.196969697,0.166666667,0.083333333,0.098484848,0.196969697,0.075757576,0.181818182
tea MR,0,0,0.260869565,0,0.130434783,0.043478261,0.565217391
beef NR,0.079545455,0.227272727,0.159090909,0.034090909,0.181818182,0.159090909,0.159090909
beef KR,0.142857143,0.136054422,0.144557823,0.156462585,0.139455782,0.142857143,0.137755102
beef LR,0.428571429,0,0,0.238095238,0.047619048,0.095238095,0.19047619
beef MR,0,0,0,0,1,0,0
chicken NR,0.193406593,0.147252747,0.12967033,0.127472527,0.140659341,0.12967033,0.131868132
chicken KR,0.082758621,0,0.165517241,0.2,0.144827586,0.220689655,0.186206897
chicken LR,0,0.347368421,0.168421053,0.105263158,0.157894737,0.094736842,0.126315789
chicken MR,0,0,0,1,0,0,0
mutton NR,0.16967509,0.23465704,0.111913357,0.101083032,0.101083032,0.079422383,0.202166065
mutton KR,0.09221902,0.043227666,0.187319885,0.181556196,0.175792507,0.207492795,0.112391931
mutton LR,0.304347826,0.289855072,0.043478261,0.101449275,0.130434783,0.072463768,0.057971014
mutton MR,0,0,0,0.4,0.4,0.2,0
egg LR,0.18556701,0.24742268,0.092783505,0.134020619,0.154639175,0.113402062,0.072164948
egg KR,0.177083333,0.078125,0.125,0.171875,0.130208333,0.15625,0.161458333
egg MR,0,0,0.5625,0.1875,0.1875,0.0625,0
egg NR,0.122762148,0.15601023,0.140664962,0.130434783,0.145780051,0.148337596,0.15601023
egg HR,0,0,1,0,0,0,0
fishA NR,0.175572519,0.254452926,0.111959288,0.122137405,0.122137405,0.124681934,0.089058524
fishA KR,0.134782609,0,0.147826087,0.191304348,0.17826087,0.195652174,0.152173913
fishA LR,0,0,0.220588235,0.102941176,0.161764706,0.088235294,0.426470588
fishA MR,0,0,0.857142857,0.142857143,0,0,0
fishB NR,0.122093023,0.139534884,0.162790698,0.151162791,0.168604651,0.174418605,0.081395349
fishB KR,0.172413793,0.130541872,0.125615764,0.13546798,0.137931034,0.150246305,0.147783251
fishB LR,0.140625,0,0.078125,0.28125,0.1875,0.140625,0.171875
fishB MR,0,0.410714286,0.267857143,0.017857143,0.053571429,0,0.25
crab LR,0,0.472727273,0,0.127272727,0.072727273,0.054545455,0.272727273
crab KR,0.151187905,0.082073434,0.181425486,0.153347732,0.153347732,0.142548596,0.136069114
crab MR,0,0,0.4,0,0.4,0.2,0
crab NR,0.174418605,0.209302326,0.075581395,0.127906977,0.122093023,0.168604651,0.122093023
crab HR,0,0,0,0,0.666666667,0.333333333,0
prawns LR,0,0.153846154,0.043956044,0.120879121,0.164835165,0.131868132,0.384615385
prawns KR,0.104519774,0.177966102,0.149717514,0.169491525,0.132768362,0.146892655,0.118644068
prawns MR,0,0,0,0.333333333,0.166666667,0.5,0
prawns NR,0.259259259,0.094650206,0.172839506,0.111111111,0.139917695,0.131687243,0.090534979
prawns HR,0,0,0,0,0.75,0.25,0
shark NR,0.470588235,0,0.205882353,0.088235294,0.088235294,0.088235294,0.058823529
shark KR,0.126696833,0.150829563,0.138763198,0.146304676,0.146304676,0.14479638,0.146304676
shark LR,0,0,0,0,0,1,0
avaraikai LR,0,0,0.294117647,0.294117647,0.264705882,0.147058824,0
avaraikai KR,0.211970075,0.109725686,0.099750623,0.152119701,0.12967581,0.154613466,0.142144638
avaraikai MR,0,0,0,0.25,0.75,0,0
avaraikai NR,0.058139535,0.217054264,0.189922481,0.104651163,0.139534884,0.127906977,0.162790698
avaraikai HR,0,0,0,1,0,0,0
banana NR,0.148148148,0,0.172839506,0.148148148,0.197530864,0.160493827,0.172839506
banana KR,0.140703518,0.167504188,0.13400335,0.144053601,0.13400335,0.140703518,0.139028476
banana LR,0.210526316,0,0.263157895,0.105263158,0.157894737,0.157894737,0.105263158
banana MR,0,0,0,0,1,0,0
beans NR,0.107142857,0.151260504,0.153361345,0.155462185,0.138655462,0.134453782,0.159663866
beans KR,0.309278351,0,0.103092784,0.092783505,0.164948454,0.268041237,0.06185567
beans LR,0.154471545,0.227642276,0.130081301,0.130081301,0.146341463,0.073170732,0.138211382
beans MR,0,0,0,0.5,0,0.5,0
beetroot NR,0.272727273,0.081818182,0.059090909,0.145454545,0.140909091,0.104545455,0.195454545
beetroot KR,0.076372315,0.195704057,0.162291169,0.140811456,0.138424821,0.15274463,0.133651551
beetroot LR,0.142857143,0,0.321428571,0.142857143,0.160714286,0.232142857,0
beetroot MR,0,0,0,0.333333333,0.666666667,0,0
brinjal NR,0.172839506,0.150617284,0.118518519,0.15308642,0.12345679,0.143209877,0.138271605
brinjal KR,0.112149533,0.196261682,0.130841121,0.140186916,0.261682243,0.158878505,0
brinjal LR,0.098901099,0.098901099,0.203296703,0.126373626,0.10989011,0.126373626,0.236263736
brinjal MR,0,0,0,0,0.5,0.5,0
cabbage NR,0.131016043,0.176470588,0.104278075,0.155080214,0.136363636,0.139037433,0.157754011
cabbage KR,0.160839161,0.118881119,0.178321678,0.122377622,0.143356643,0.153846154,0.122377622
cabbage LR,0.142857143,0,0.257142857,0.171428571,0.171428571,0.114285714,0.142857143
cabbage MR,0,0,0,0.333333333,0.666666667,0,0
capsicum NR,0.109090909,0,0.054545455,0.2,0.181818182,0.218181818,0.236363636
